# PcbXY Version 1.0
# Date: Fri Sep 20 02:48:59 2019 UTC
# Author: Doug Coffland
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
D/Y/C11,"0805_ext","130pF",51.75,48.25,0,top
M/C34,"0805_ext","10pF",7.25,68.00,90,top
M/C33,"0805_ext","10pF",7.50,73.00,270,top
M/X1,"Crystal_HC49","16MHz",3.50,70.75,270,top
D/A/R7,"0805_ext","2.4k",11.25,80.00,270,top
D/Z/R7,"0805_ext","2.4k",46.75,73.00,180,top
D/Z/R11,"0805_ext","180",46.75,71.25,0,top
D/A/R11,"0805_ext","180",9.25,80.00,90,top
D/C4,"0805_ext","130pF",55.50,35.00,0,top
D/R3,"0805_ext","180",55.50,42.00,0,top
D/R6,"0805_ext","2.4k",55.50,43.75,180,top
D/R4,"0805_ext","180",55.50,40.25,0,top
D/C3,"0805_ext","130pF",55.50,38.50,0,top
D/R2,"0805_ext","2.4k",69.25,41.00,180,top
D/Y/R7,"0805_ext","2.4k",46.75,67.75,180,top
D/Y/R11,"0805_ext","180",46.75,69.50,0,top
D/R5,"0805_ext","180",55.50,36.75,0,top
D/Z/C3,"0805_ext",".22uF",68.25,94.50,270,top
D/X/U1,"38HTSSOP","unknown",72.00,26.25,0,top
D/A/U1,"38HTSSOP","unknown",71.50,118.75,0,top
D/Z/U1,"38HTSSOP","unknown",71.50,87.75,0,top
D/Y/U1,"38HTSSOP","unknown",71.75,57.00,0,top
H/L1,"SRF2012A","120uH",73.75,7.75,0,top
H/R19,"0805_ext","130",67.75,7.75,90,top
H/C1,"0805_ext","0.1uF",69.50,9.75,90,top
H/C2,"0805_ext","0.1uF",71.25,7.75,90,top
H/C3,"0805_ext","0.1uF",69.50,5.50,90,top
H/R4,"0805_ext","10",77.50,8.50,180,top
H/R5,"0805_ext","10",77.50,6.75,180,top
R/LCD,"JUMPER4","unknown",7.75,135.56,180,top
R/LV0/R2,"0805_ext","10K",13.00,129.50,180,top
R/LV0/Q1,"SOT23_2","unknown",12.81,132.49,180,top
R/LV0/R1,"0805_ext","10K",15.50,132.50,90,top
R/LV1/R1,"0805_ext","10K",15.50,138.75,90,top
